epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,2246.15,0.4593,0.68915,0.40448,0.96352,0.85131,0.7685,0.82023,0.71212,0.85076,0.7685,0.81771,0.69182,0.60033,1.19319,0.89734,0.93749,0.000515,0.000515,0.000515
77,2274.28,0.44277,0.63712,0.39066,0.95166,0.8323,0.76285,0.82131,0.71807,0.8323,0.76285,0.81921,0.69935,0.61252,1.08721,0.91653,0.96385,0.0004952,0.0004952,0.0004952
78,2302.48,0.44237,0.61538,0.37859,0.95778,0.84381,0.7685,0.81106,0.71291,0.84204,0.7704,0.81192,0.68892,0.58416,1.11872,0.88479,0.92967,0.0004754,0.0004754,0.0004754
79,2330.35,0.43637,0.63059,0.38608,0.95491,0.84665,0.76479,0.81597,0.72411,0.84335,0.76091,0.81497,0.70051,0.58418,1.19062,0.88675,0.91806,0.0004556,0.0004556,0.0004556
80,2358.27,0.43151,0.62006,0.38359,0.95169,0.87097,0.74953,0.82907,0.72684,0.84356,0.7685,0.82639,0.70589,0.57497,1.13866,0.8758,0.92208,0.0004358,0.0004358,0.0004358
81,2386.36,0.42244,0.60298,0.36688,0.94987,0.88181,0.75036,0.82749,0.72877,0.86459,0.75522,0.82159,0.70344,0.58937,1.14375,0.82815,0.92898,0.000416,0.000416,0.000416
82,2417.75,0.44149,0.62056,0.3783,0.96238,0.87094,0.76829,0.83221,0.72783,0.86879,0.76639,0.83004,0.70338,0.57449,1.1608,0.83186,0.92298,0.0003962,0.0003962,0.0003962
83,2451.34,0.42593,0.63848,0.41962,0.9472,0.85972,0.75592,0.82923,0.73033,0.85545,0.75241,0.82678,0.70758,0.60476,1.15338,0.90238,0.94819,0.0003764,0.0003764,0.0003764
84,2479.07,0.43142,0.61746,0.36578,0.95306,0.84327,0.7555,0.81425,0.71338,0.84115,0.7536,0.81201,0.68855,0.59999,1.19371,0.94434,0.93964,0.0003566,0.0003566,0.0003566
85,2508.23,0.41752,0.5909,0.37197,0.94456,0.85774,0.7666,0.82642,0.7258,0.85464,0.76471,0.82201,0.69926,0.58761,1.17827,0.85379,0.9387,0.0003368,0.0003368,0.0003368
86,2536.3,0.41523,0.5936,0.35346,0.94145,0.85321,0.77207,0.83099,0.73197,0.84948,0.77103,0.83043,0.71013,0.57101,1.13366,0.84407,0.91569,0.000317,0.000317,0.000317
87,2564.36,0.41127,0.58682,0.34734,0.93762,0.84464,0.78178,0.83656,0.73919,0.84054,0.77799,0.83235,0.71637,0.58153,1.17298,0.84646,0.92117,0.0002972,0.0002972,0.0002972
88,2592.21,0.40753,0.56294,0.3459,0.93813,0.84974,0.76186,0.83192,0.73397,0.84762,0.75997,0.83019,0.71241,0.56954,1.12691,0.85168,0.91848,0.0002774,0.0002774,0.0002774
89,2620.06,0.40697,0.57078,0.34982,0.94168,0.85715,0.76282,0.82704,0.72757,0.85383,0.7648,0.82674,0.70133,0.57831,1.16879,0.85877,0.92489,0.0002576,0.0002576,0.0002576
90,2648.18,0.40333,0.5758,0.34214,0.93486,0.874,0.75142,0.82114,0.72201,0.87621,0.75332,0.82386,0.69898,0.59033,1.1787,0.87416,0.93278,0.0002378,0.0002378,0.0002378
